"ASSOCIATIONID","ASSOCIATION","MONTH","YEAR","CLOSEDLISTINGS","PENDINGLISTINGS","ACTIVELISTINGS","AVERAGELISTINGPRICE","MEDIANLISTINGPRICE","AVERAGECLOSINGPRICE","MEDIANCLOSINGPRICE","TOTALDOLLARSSOLD","AVERAGEDAYSONMARKET"
4375,"Heart of Kentucky Association of REALTORS®",7,2018,217,357,793,203912,178000,171692,153900,37257350,90
4280,"Henderson-Audubon Board of REALTORS®",7,2018,34,39,131,138709,124638,134657,123950,4578345,38
4285,"Hopkinsville-Christian Board of REALTORS®",7,2018,45,28,163,175431,132450,133101,123000,5989544,89
4290,"Kentucky-Barkley Lakes Board of REALTORS®",7,2018,43,1,355,219366,159900,139593,127900,6002525,103
4295,"Lexington Bluegrass Association of REALTORS®",7,2018,1294,1294,4122,312427,225000,208066,175000,269237011,42
4310,"Madisonville-Hopkins Board of REALTORS®",7,2018,46,31,215,165215,129900,119255,117450,5485750,125
4315,"Mayfield-Graves Board of REALTORS®",7,2018,28,4,29,174110,124900,95588,69450,2676465,80
4320,"Murray Calloway County Board of REALTORS®",7,2018,36,10,171,246041,194900,169057,136350,6086075,120
4325,"Northern Kentucky Association of REALTORS®",7,2018,691,490,1458,304629,230495,200737,170000,138709887,34
4330,"Old Kentucky Home Board of REALTORS®",7,2018,53,55,171,249804,218000,163955,153900,8698625,90
4340,"Paducah Board of REALTORS®",7,2018,88,18,532,207597,159900,159134,131950,14003835,119
4345,"Pennyrile Board of REALTORS®",7,2018,26,19,189,129703,110000,121692,95000,3164000,127
4355,"REALTOR® Association of Southern Kentucky",7,2018,272,423,966,288278,229900,198082,174200,53878492,102
4370,"Somerset-Lake Cumberland Board of REALTORS®",7,2018,111,85,859,202861,159900,136352,127500,15135087,128
4275,"South Central Kentucky Association of REALTORS®",7,2018,42,69,241,164670,139500,146180,149750,6139550,108
4240,"Ashland Area Board of REALTORS®",6,2018,105,40,662,177233,131000,133095,110000,14670101,151
4250,"Central Kentucky Association of REALTORS®",6,2018,74,,275,218405,169900,167533,147550,12397512,108
4245,"Eastern Kentucky Association of REALTORS®",6,2018,64,4,667,,,137289,97500,8786527,204
4300,"Greater Louisville Association of REALTORS®",6,2018,1665,,,,,237458,194500,395367956,37
4335,"Greater Owensboro Board of REALTORS®",6,2018,161,158,425,168770,144900,164447,144000,26475770,82
4375,"Heart of Kentucky Association of REALTORS®",6,2018,225,392,768,208217,185700,180816,174900,40683792,104
4280,"Henderson-Audubon Board of REALTORS®",6,2018,35,11,123,183125,179900,178167,177000,6235877,74
4285,"Hopkinsville-Christian Board of REALTORS®",6,2018,42,22,168,177805,139900,130590,108400,5484800,101
4290,"Kentucky-Barkley Lakes Board of REALTORS®",6,2018,49,4,343,216145,159000,132786,127000,6506518,105
4295,"Lexington Bluegrass Association of REALTORS®",6,2018,1380,1332,3941,314516,229500,211990,176000,292546120,43
4310,"Madisonville-Hopkins Board of REALTORS®",6,2018,60,36,199,169692,139900,107914,95250,6474863,125
4315,"Mayfield-Graves Board of REALTORS®",6,2018,29,2,133,173445,135000,99655,85000,2890000,105
4320,"Murray Calloway County Board of REALTORS®",6,2018,45,6,177,242463,169900,158889,128500,7150006,155
4325,"Northern Kentucky Association of REALTORS®",6,2018,692,464,1393,307908,235000,201874,175000,146883217,40
4330,"Old Kentucky Home Board of REALTORS®",6,2018,59,36,159,240376,200000,162968,150400,9615750,120
4340,"Paducah Board of REALTORS®",6,2018,93,24,539,212486,164400,173280,155000,16115050,109
4345,"Pennyrile Board of REALTORS®",6,2018,23,39,182,185415,143750,190130,190000,4373000,162
4355,"REALTOR® Association of Southern Kentucky",6,2018,273,424,937,279214,224500,206407,175000,56349346,97
4370,"Somerset-Lake Cumberland Board of REALTORS®",6,2018,108,112,853,203724,157500,148367,138000,16023728,132
4275,"South Central Kentucky Association of REALTORS®",6,2018,38,60,241,171520,144000,155545,137250,5910699,102
4240,"Ashland Area Board of REALTORS®",5,2018,116,25,629,176266,129900,131001,107750,15196192,128
4250,"Central Kentucky Association of REALTORS®",5,2018,56,,245,160567,152450,152577,152450,8544350,110
4245,"Eastern Kentucky Association of REALTORS®",5,2018,74,62,1015,166274,,116575,110000,8626524,159
4300,"Greater Louisville Association of REALTORS®",5,2018,1630,,,,,216893,180000,353534963,38
4335,"Greater Owensboro Board of REALTORS®",5,2018,156,187,382,156327,134900,153979,128950,24634598,76
4375,"Heart of Kentucky Association of REALTORS®",5,2018,255,383,737,208143,185000,163080,155000,41585460,97
4280,"Henderson-Audubon Board of REALTORS®",5,2018,33,10,84,156371,139500,151584,135000,5002300,66
4285,"Hopkinsville-Christian Board of REALTORS®",5,2018,48,31,154,183429,145000,125991,112000,6047550,105
4290,"Kentucky-Barkley Lakes Board of REALTORS®",5,2018,42,4,338,216898,159250,138867,116500,5832450,111
4295,"Lexington Bluegrass Association of REALTORS®",5,2018,1281,1459,3651,316453,226700,202392,172900,259263788,51
4310,"Madisonville-Hopkins Board of REALTORS®",5,2018,57,31,195,160685,135000,115567,98000,6587333,111
4315,"Mayfield-Graves Board of REALTORS®",5,2018,38,0,28,174628,124700,101063,88250,3840400,56
4320,"Murray Calloway County Board of REALTORS®",5,2018,50,14,173,259224,179900,179623,148750,8981150,128
4325,"Northern Kentucky Association of REALTORS®",5,2018,632,537,1358,316209,230950,197809,170200,125015377,40
4330,"Old Kentucky Home Board of REALTORS®",5,2018,71,58,146,233086,184200,163059,148500,11577198,98
4340,"Paducah Board of REALTORS®",5,2018,73,28,536,213913,162250,171223,135000,12499300,101
4345,"Pennyrile Board of REALTORS®",5,2018,30,23,153,159654,149695,154730,145000,4641900,122
4355,"REALTOR® Association of Southern Kentucky",5,2018,268,399,880,276587,224900,191377,166500,51289116,103
4370,"Somerset-Lake Cumberland Board of REALTORS®",5,2018,102,129,839,203510,159900,150696,129900,14364310,169
4275,"South Central Kentucky Association of REALTORS®",5,2018,47,50,213,175620,144900,144072,116000,6771400,127
4240,"Ashland Area Board of REALTORS®",4,2018,76,39,626,179066,129700,125680,105000,10198017,169
4250,"Central Kentucky Association of REALTORS®",4,2018,47,,237,145846,12310,138915,118000,6529051,128
4245,"Eastern Kentucky Association of REALTORS®",4,2018,69,48,994,179921,,135630,107500,9358459,150
4300,"Greater Louisville Association of REALTORS®",4,2018,1506,,,,,221371,181500,333385151,46
4335,"Greater Owensboro Board of REALTORS®",4,2018,165,169,415,151357,124900,161866,141500,27720878,89
4375,"Heart of Kentucky Association of REALTORS®",4,2018,244,386,678,204595,181700,167497,154250,40869442,117
4280,"Henderson-Audubon Board of REALTORS®",4,2018,34,14,111,187026,159900,154508,140750,5253277,90
4285,"Hopkinsville-Christian Board of REALTORS®",4,2018,40,21,142,183873,139900,149338,128500,5973530,134
4290,"Kentucky-Barkley Lakes Board of REALTORS®",4,2018,47,7,329,201619,149900,116311,100000,5466661,104
4295,"Lexington Bluegrass Association of REALTORS®",4,2018,1085,1421,3484,315367,224900,199859,170000,216846681,55
4310,"Madisonville-Hopkins Board of REALTORS®",4,2018,41,41,178,164170,139900,143330,112000,5876550,118
4315,"Mayfield-Graves Board of REALTORS®",4,2018,21,14,192,146362,98500,113314,97500,2379612,133
4320,"Murray Calloway County Board of REALTORS®",4,2018,25,18,169,250075,159900,167032,157000,4175800,135
4325,"Northern Kentucky Association of REALTORS®",4,2018,625,432,1257,315525,235000,191854,167000,119908785,45
4330,"Old Kentucky Home Board of REALTORS®",4,2018,45,70,146,174648,173900,168785,165000,7595350,116
4340,"Paducah Board of REALTORS®",4,2018,85,24,504,213326,159900,152995,138000,13004627,124
4345,"Pennyrile Board of REALTORS®",4,2018,27,19,180,142062,129900,132551,125000,3578900,145
4355,"REALTOR® Association of Southern Kentucky",4,2018,218,401,821,272282,219000,190496,160000,41528153,106
4370,"Somerset-Lake Cumberland Board of REALTORS®",4,2018,92,97,813,200933,150000,150083,124250,13807700,168
4275,"South Central Kentucky Association of REALTORS®",4,2018,42,55,184,173044,143750,149588,137500,6282700,134
4240,"Ashland Area Board of REALTORS®",3,2018,79,30,632,177004,124500,136758,116000,10551179,162
4250,"Central Kentucky Association of REALTORS®",3,2018,44,,,,,157177,136250,6915798,158
4245,"Eastern Kentucky Association of REALTORS®",3,2018,68,63,994,,,100299,64500,7309596,178
4300,"Greater Louisville Association of REALTORS®",3,2018,1367,,,,,210390,172500,287602796,50
4335,"Greater Owensboro Board of REALTORS®",3,2018,125,192,362,142174,124900,137729,123500,17126072,95
4375,"Heart of Kentucky Association of REALTORS®",3,2018,207,385,648,204293,180000,157040,143000,32507486,107
4280,"Henderson-Audubon Board of REALTORS®",3,2018,38,29,102,192919,164900,118823,197450,4515300,63
4285,"Hopkinsville-Christian Board of REALTORS®",3,2018,28,17,159,173234,139900,139304,113500,3900512,120
4290,"Kentucky-Barkley Lakes Board of REALTORS®",3,2018,35,12,299,205254,158900,138958,109000,4863540,174
4295,"Lexington Bluegrass Association of REALTORS®",3,2018,1042,1323,3240,306136,212900,196179,165000,204418585,63
4310,"Madisonville-Hopkins Board of REALTORS®",3,2018,38,50,163,171828,144900,102396,89500,3891037,124
4315,"Mayfield-Graves Board of REALTORS®",3,2018,42,0,137,157589,139900,94910,74500,3986230,159
4320,"Murray Calloway County Board of REALTORS®",3,2018,21,21,162,250386,166200,154690,155000,3248500,127
4325,"Northern Kentucky Association of REALTORS®",3,2018,557,519,1178,304978,223700,192009,165000,106949323,55
4330,"Old Kentucky Home Board of REALTORS®",3,2018,65,50,157,229189,184500,163521,155000,10628901,95
4340,"Paducah Board of REALTORS®",3,2018,86,36,489,203365,159000,154975,135250,13327903,119
4345,"Pennyrile Board of REALTORS®",3,2018,22,23,168,169329,132200,148172,125250,3259800,130
4355,"REALTOR® Association of Southern Kentucky",3,2018,240,384,801,267813,215000,181194,160000,43486786,111
4370,"Somerset-Lake Cumberland Board of REALTORS®",3,2018,87,116,783,203207,149900,146160,128000,12715950,169
4275,"South Central Kentucky Association of REALTORS®",3,2018,54,57,179,175564,145000,116552,111500,6293800,127
4240,"Ashland Area Board of REALTORS®",2,2018,58,25,616,177098,121950,137639,104152,7983101,174
4250,"Central Kentucky Association of REALTORS®",2,2018,28,,222,165490,149950,133250,121450,3731000,163
4245,"Eastern Kentucky Association of REALTORS®",2,2018,51,65,979,,,87804,52000,4477984,242
4300,"Greater Louisville Association of REALTORS®",2,2018,1111,,,,,202586,168000,225072884,48
4335,"Greater Owensboro Board of REALTORS®",2,2018,88,135,349,142174,142000,150942,125300,13282878,81
4375,"Heart of Kentucky Association of REALTORS®",2,2018,168,369,644,199199,174900,154680,144200,25986247,109
4280,"Henderson-Audubon Board of REALTORS®",2,2018,21,23,105,141811,134000,137614,134000,2889900,48
4285,"Hopkinsville-Christian Board of REALTORS®",2,2018,26,17,165,165654,137900,133090,131450,3460350,145
4290,"Kentucky-Barkley Lakes Board of REALTORS®",2,2018,33,6,301,202657,149900,128419,117900,4237850,196
4295,"Lexington Bluegrass Association of REALTORS®",2,2018,700,1050,3294,288471,199500,200346,168000,140242191,63
4310,"Madisonville-Hopkins Board of REALTORS®",2,2018,43,45,167,181322,149900,91435,80000,3931700,145
4315,"Mayfield-Graves Board of REALTORS®",2,2018,28,0,127,156015,134000,74666,54750,2169050,170
4320,"Murray Calloway County Board of REALTORS®",2,2018,24,3,157,244472,164900,142379,130000,3417115,174
4325,"Northern Kentucky Association of REALTORS®",2,2018,405,382,1159,296811,224900,180017,158000,72906895,60
4330,"Old Kentucky Home Board of REALTORS®",2,2018,35,41,137,228961,183900,160041,158000,5601445,111
4340,"Paducah Board of REALTORS®",2,2018,48,29,492,197709,151400,140933,105000,6764800,127
4345,"Pennyrile Board of REALTORS®",2,2018,18,39,164,174359,136950,140700,86125,2532650,129
4355,"REALTOR® Association of Southern Kentucky",2,2018,148,337,766,263506,209900,176258,160000,26086291,117
4370,"Somerset-Lake Cumberland Board of REALTORS®",2,2018,63,82,698,192995,143250,142461,134900,8387850,176
4275,"South Central Kentucky Association of REALTORS®",2,2018,26,59,189,173063,145000,124183,120750,3228750,121
4240,"Ashland Area Board of REALTORS®",1,2018,73,27,614,179886,124400,110374,84000,7619863,156
4250,"Central Kentucky Association of REALTORS®",1,2018,31,,212,165270,152250,145609,123000,4513900,178
4245,"Eastern Kentucky Association of REALTORS®",1,2018,46,47,999,,,112362,67000,5168665,195
4300,"Greater Louisville Association of REALTORS®",1,2018,988,,,,,209336,166550,206824221,49
4335,"Greater Owensboro Board of REALTORS®",1,2018,92,124,325,120041,116950,129232,111250,11889299,81
4375,"Heart of Kentucky Association of REALTORS®",1,2018,144,313,687,194063,169900,157772,145450,22719283,97
4280,"Henderson-Audubon Board of REALTORS®",1,2018,21,28,113,155065,108500,146188,108500,3069965,87
4285,"Hopkinsville-Christian Board of REALTORS®",1,2018,24,21,157,148459,129900,142578,108500,3421878,126
4290,"Kentucky-Barkley Lakes Board of REALTORS®",1,2018,24,5,294,198505,148700,138302,117450,3319250,116
4295,"Lexington Bluegrass Association of REALTORS®",1,2018,728,949,3305,286083,198000,192452,159000,140105368,67
4310,"Madisonville-Hopkins Board of REALTORS®",1,2018,32,34,181,163069,131900,104419,99500,3341400,90
4315,"Mayfield-Graves Board of REALTORS®",1,2018,22,0,125,146175,125000,116575,90200,2564650,128
4320,"Murray Calloway County Board of REALTORS®",1,2018,19,5,152,250537,168450,127836,122000,2428900,130
4325,"Northern Kentucky Association of REALTORS®",1,2018,401,353,1253,282896,212500,173532,160000,69586553,58
4330,"Old Kentucky Home Board of REALTORS®",1,2018,33,47,179,216563,179900,159860,155000,5275400,124
4340,"Paducah Board of REALTORS®",1,2018,55,18,439,188821,145000,163579,114000,8996846,100
4345,"Pennyrile Board of REALTORS®",1,2018,12,,,133408,121900,126820,115000,1521850,142
4355,"REALTOR® Association of Southern Kentucky",1,2018,163,274,757,268463,208900,157753,147000,25713860,111
4370,"Somerset-Lake Cumberland Board of REALTORS®",1,2018,67,91,691,194112,142500,136981,127000,9177750,145
4275,"South Central Kentucky Association of REALTORS®",1,2018,24,40,183,169265,145000,147262,124500,3534295,127
4240,"Ashland Area Board of REALTORS®",12,2017,59,23,630,166505,119900,121703,107000,7030492,166
4250,"Central Kentucky Association of REALTORS®",12,2017,40,,225,,154900,165182,135000,6607300,122
4245,"Eastern Kentucky Association of REALTORS®",12,2017,46,31,995,,,128061,87500,5890803,197
4300,"Greater Louisville Association of REALTORS®",12,2017,1312,,,,,215630,177000,282906228,44
4335,"Greater Owensboro Board of REALTORS®",12,2017,109,109,346,122579,104900,171464,125000,18689531,103
4375,"Heart of Kentucky Association of REALTORS®",12,2017,197,273,713,188989,169900,166757,149000,32851227,104
4280,"Henderson-Audubon Board of REALTORS®",12,2017,37,16,108,153076,144000,147016,135500,5439600,56
4285,"Hopkinsville-Christian Board of REALTORS®",12,2017,39,17,162,131095,129900,123938,126000,4833600,92
4290,"Kentucky-Barkley Lakes Board of REALTORS®",12,2017,34,5,297,190301,143000,119370,131250,4058600,158
4295,"Lexington Bluegrass Association of REALTORS®",12,2017,1000,723,3440,286816,195250,196620,162000,196619543,57
4310,"Madisonville-Hopkins Board of REALTORS®",12,2017,32,28,185,159800,132900,86648,76750,2772750,127
4315,"Mayfield-Graves Board of REALTORS®",12,2017,19,0,116,180043,133550,109998,84900,1800635,127
4320,"Murray Calloway County Board of REALTORS®",12,2017,19,5,186,241104,173150,209376,175000,3978150,119
4325,"Northern Kentucky Association of REALTORS®",12,2017,484,269,1291,275987,204900,180504,158250,87364224,45
4330,"Old Kentucky Home Board of REALTORS®",12,2017,50,24,186,211039,175400,156889,140950,7844499,89
4340,"Paducah Board of REALTORS®",12,2017,66,18,473,193900,149000,179617,159500,11854739,139
4345,"Pennyrile Board of REALTORS®",12,2017,12,,,,,137392,135000,1648700,181
4355,"REALTOR® Association of Southern Kentucky",12,2017,171,265,734,263669,199999,177234,159900,30307081,106
4370,"Somerset-Lake Cumberland Board of REALTORS®",12,2017,94,115,649,193882,139000,128432,118000,505500,152
4275,"South Central Kentucky Association of REALTORS®",12,2017,26,36,190,172814,144950,132519,126250,3445497,126
4240,"Ashland Area Board of REALTORS®",11,2017,74,30,701,167512,119900,112482,97000,8837244,156
4250,"Central Kentucky Association of REALTORS®",11,2017,49,,249,260176,,144097,130000,7060800,115
4245,"Eastern Kentucky Association of REALTORS®",11,2017,44,52,1005,,,115860,92000,5097850,191
4300,"Greater Louisville Association of REALTORS®",11,2017,1343,,,,,219763,175000,295141389,45
4335,"Greater Owensboro Board of REALTORS®",11,2017,115,118,359,156909,124900,142584,119900,16397165,82
4375,"Heart of Kentucky Association of REALTORS®",11,2017,173,279,768,191569,169450,153208,152900,26505050,102
4280,"Henderson-Audubon Board of REALTORS®",11,2017,21,28,108,160069,159900,156814,156500,3361454,63
4285,"Hopkinsville-Christian Board of REALTORS®",11,2017,30,25,177,192635,134900,182635,119375,5479053,119
4290,"Kentucky-Barkley Lakes Board of REALTORS®",11,2017,45,3,323,191790,144900,179980,138900,8099101,138
4295,"Lexington Bluegrass Association of REALTORS®",11,2017,951,973,3692,291466,199900,188256,155000,179031135,55
4310,"Madisonville-Hopkins Board of REALTORS®",11,2017,38,25,202,162275,130950,139337,129900,5294811,142
4315,"Mayfield-Graves Board of REALTORS®",11,2017,25,0,146,153793,129825,116693,110000,2917340,101
4320,"Murray Calloway County Board of REALTORS®",11,2017,24,4,164,248349,179450,203241,138950,4877800,162
4325,"Northern Kentucky Association of REALTORS®",11,2017,491,347,1470,278571,199900,186244,162000,91426247,49
4330,"Old Kentucky Home Board of REALTORS®",11,2017,49,23,139,219469,179900,160384,159500,7858850,95
4340,"Paducah Board of REALTORS®",11,2017,75,16,533,193880,149500,159958,149900,11996900,117
4345,"Pennyrile Board of REALTORS®",11,2017,22,,,,,149977,139000,3299500,180
4355,"REALTOR® Association of Southern Kentucky",11,2017,196,311,844,266595,199900,187522,173250,36754422,102
4370,"Somerset-Lake Cumberland Board of REALTORS®",11,2017,93,41,756,190291,139350,147218,124000,13691315,139
4275,"South Central Kentucky Association of REALTORS®",11,2017,36,36,200,166738,139900,139269,122500,5013700,98
4240,"Ashland Area Board of REALTORS®",10,2017,75,19,727,162656,121900,111923,95500,8394252,154
4250,"Central Kentucky Association of REALTORS®",10,2017,41,,282,174668,169450,136695,125000,5604515,93
4245,"Eastern Kentucky Association of REALTORS®",10,2017,53,53,1011,,,94204,82500,4992800,186
4300,"Greater Louisville Association of REALTORS®",10,2017,1445,,,,,199304,169900,287994477,43
4335,"Greater Owensboro Board of REALTORS®",10,2017,128,131,475,175546,119900,174359,131250,22317963,100
4375,"Heart of Kentucky Association of REALTORS®",10,2017,221,296,787,194083,169000,158269,142000,34977501,110
4280,"Henderson-Audubon Board of REALTORS®",10,2017,30,35,104,149813,119950,142949,110900,4288475,62
4285,"Hopkinsville-Christian Board of REALTORS®",10,2017,35,20,202,153684,123700,122840,120000,4299401,108
4290,"Kentucky-Barkley Lakes Board of REALTORS®",10,2017,55,2,344,191538,149900,143465,132500,7890600,140
4295,"Lexington Bluegrass Association of REALTORS®",10,2017,1115,1030,4071,294973,207750,193469,160583,215717605,52
4310,"Madisonville-Hopkins Board of REALTORS®",10,2017,42,25,206,159501,130950,132030,126500,5545252,123
4315,"Mayfield-Graves Board of REALTORS®",10,2017,27,0,128,156734,129900,119453,110901,3225249,99
4320,"Murray Calloway County Board of REALTORS®",10,2017,34,10,177,248461,169900,178304,157000,6062345,124
4325,"Northern Kentucky Association of REALTORS®",10,2017,589,362,1593,278137,205000,180727,155000,106448636,47
4330,"Old Kentucky Home Board of REALTORS®",10,2017,66,44,151,218138,178900,169862,151500,11210944,101
4340,"Paducah Board of REALTORS®",10,2017,71,20,534,198103,155000,153426,124900,10893273,128
4345,"Pennyrile Board of REALTORS®",10,2017,14,,,,,132286,101250,1852000,176
4355,"REALTOR® Association of Southern Kentucky",10,2017,234,351,837,273211,208900,167928,149900,39295300,105
4370,"Somerset-Lake Cumberland Board of REALTORS®",10,2017,76,49,815,188867,145000,134391,122825,10213751,156
4275,"South Central Kentucky Association of REALTORS®",10,2017,37,50,181,167923,139900,132216,120000,4892000,95
4240,"Ashland Area Board of REALTORS®",9,2017,69,19,776,157672,124700,128621,98000,8874912,126
4250,"Central Kentucky Association of REALTORS®",9,2017,41,,281,122866,169000,135522,120000,5556421,116
4245,"Eastern Kentucky Association of REALTORS®",9,2017,50,153,1007,,,150242,112500,7512093,153
4300,"Greater Louisville Association of REALTORS®",9,2017,1565,,,,,207956,174500,325451279,39
4335,"Greater Owensboro Board of REALTORS®",9,2017,143,159,493,168377,144900,160157,138900,22902383,78
4375,"Heart of Kentucky Association of REALTORS®",9,2017,235,317,817,196357,168500,171518,155950,40306783,119
4280,"Henderson-Audubon Board of REALTORS®",9,2017,25,33,136,143555,152000,139270,145000,3481774,24
4285,"Hopkinsville-Christian Board of REALTORS®",9,2017,37,22,206,163677,126950,131135,120000,4852000,109
4290,"Kentucky-Barkley Lakes Board of REALTORS®",9,2017,46,3,358,205098,151400,144435,129500,6644017,121
4295,"Lexington Bluegrass Association of REALTORS®",9,2017,1084,1118,4200,297516,209900,194282,165000,210602025,45
4310,"Madisonville-Hopkins Board of REALTORS®",9,2017,47,22,198,166081,138450,93603,68000,4399330,151
4315,"Mayfield-Graves Board of REALTORS®",9,2017,26,0,159,156485,129900,133611,107900,3336400,124
4320,"Murray Calloway County Board of REALTORS®",9,2017,34,3,174,247160,174700,172825,138500,43005800,154
4325,"Northern Kentucky Association of REALTORS®",9,2017,609,392,1701,279515,209900,180363,161000,109841135,42
4330,"Old Kentucky Home Board of REALTORS®",9,2017,54,42,152,232043,192200,148911,140000,8041225,106
4340,"Paducah Board of REALTORS®",9,2017,92,22,528,205761,161000,144029,125000,13250670,137
4345,"Pennyrile Board of REALTORS®",9,2017,30,,,,,120840,98500,3625200,153
4355,"REALTOR® Association of Southern Kentucky",9,2017,231,359,850,269448,199900,168542,151600,38933423,98
4370,"Somerset-Lake Cumberland Board of REALTORS®",9,2017,104,99,804,192092,145900,130357,121250,13557114,105
4275,"South Central Kentucky Association of REALTORS®",9,2017,41,49,177,172513,139900,127942,120000,5245602,142
4240,"Ashland Area Board of REALTORS®",8,2017,87,16,777,163646,129500,117745,110000,10243825,144
4250,"Central Kentucky Association of REALTORS®",8,2017,54,,276,162277,159900,154547,120500,8345550,170
4245,"Eastern Kentucky Association of REALTORS®",8,2017,57,51,708,,,101323,67000,5775394,210
4300,"Greater Louisville Association of REALTORS®",8,2017,1811,,,,,212255,172000,384393022,39
4335,"Greater Owensboro Board of REALTORS®",8,2017,154,160,504,187535,139900,167605,129900,25811134,86
4375,"Heart of Kentucky Association of REALTORS®",8,2017,256,364,782,199504,169900,158938,145950,40688371,101
4280,"Henderson-Audubon Board of REALTORS®",8,2017,41,35,139,148830,139900,143809,139900,5896205,50
4285,"Hopkinsville-Christian Board of REALTORS®",8,2017,47,32,209,162620,124900,137949,110000,6483600,132
4290,"Kentucky-Barkley Lakes Board of REALTORS®",8,2017,48,3,380,211371,169400,193055,161000,9266668,143
4295,"Lexington Bluegrass Association of REALTORS®",8,2017,1311,1299,4271,300110,204900,197433,163500,258834805,46
4310,"Madisonville-Hopkins Board of REALTORS®",8,2017,53,33,219,155805,134900,116124,97000,6154550,133
4315,"Mayfield-Graves Board of REALTORS®",8,2017,27,0,165,162298,137500,160214,99500,2867800,95
4320,"Murray Calloway County Board of REALTORS®",8,2017,38,9,209,268440,189900,170688,147000,6486150,113
4325,"Northern Kentucky Association of REALTORS®",8,2017,653,500,1717,281467,212000,182987,160000,119490533,41
4330,"Old Kentucky Home Board of REALTORS®",8,2017,66,56,156,220430,192000,151849,147250,10022050,119
4340,"Paducah Board of REALTORS®",8,2017,93,25,572,199833,156700,185727,155000,17272700,127
4345,"Pennyrile Board of REALTORS®",8,2017,23,,,,,132209,82000,3040800,250
4355,"REALTOR® Association of Southern Kentucky",8,2017,244,386,858,264534,199900,187360,163865,45715857,97
4370,"Somerset-Lake Cumberland Board of REALTORS®",8,2017,104,61,836,198086,150000,130124,117250,13532926,141
4275,"South Central Kentucky Association of REALTORS®",8,2017,32,56,172,177355,144950,116116,106000,3715700,114
4240,"Ashland Area Board of REALTORS®",7,2017,74,40,755,166066,129900,109426,95000,8425431,165
4250,"Central Kentucky Association of REALTORS®",7,2017,50,,207,196778,170751,171731,179750,8586561,148
4245,"Eastern Kentucky Association of REALTORS®",7,2017,62,59,687,167171,115000,130148,109150,8069150,167
4300,"Greater Louisville Association of REALTORS®",7,2017,1679,,,,,218038,183000,366085124,34
4335,"Greater Owensboro Board of REALTORS®",7,2017,143,176,464,168536,136900,168536,136900,25193352,115
4375,"Heart of Kentucky Association of REALTORS®",7,2017,218,383,773,202552,170000,170406,159900,37148679,113
4280,"Henderson-Audubon Board of REALTORS®",7,2017,31,36,137,147160,129900,134121,132000,4157777,40
4285,"Hopkinsville-Christian Board of REALTORS®",7,2017,42,37,201,166919,122500,161794,145000,6795350,116
4290,"Kentucky-Barkley Lakes Board of REALTORS®",7,2017,61,5,389,214352,167000,123504,109000,7533802,151
4295,"Lexington Bluegrass Association of REALTORS®",7,2017,1353,1373,4137,296382,201769,207412,168000,280628825,42
4310,"Madisonville-Hopkins Board of REALTORS®",7,2017,46,33,231,155843,129999,116478,102450,5358000,135
4315,"Mayfield-Graves Board of REALTORS®",7,2017,28,0,164,157801,137500,129142,100000,3615990,103
4320,"Murray Calloway County Board of REALTORS®",7,2017,18,8,163,287779,214900,249368,166750,4488640,103
4325,"Northern Kentucky Association of REALTORS®",7,2017,613,428,1746,280553,210000,193672,165000,118721014,40
4330,"Old Kentucky Home Board of REALTORS®",7,2017,61,50,149,226272,199900,147532,141900,8999455,108
4340,"Paducah Board of REALTORS®",7,2017,97,26,571,202416,160000,158501,143500,15374664,131
4345,"Pennyrile Board of REALTORS®",7,2017,23,,,,,180886,168000,4160380,185
4355,"REALTOR® Association of Southern Kentucky",7,2017,230,384,863,261720,199900,197894,170000,45515796,106
4370,"Somerset-Lake Cumberland Board of REALTORS®",7,2017,84,220,844,191161,149900,121040,116000,10167356,101
4275,"South Central Kentucky Association of REALTORS®",7,2017,36,47,168,184572,149900,141074,113500,5078650,152
4240,"Ashland Area Board of REALTORS®",6,2017,84,19,750,166703,129000,119574,95250,10144291,144
4250,"Central Kentucky Association of REALTORS®",6,2017,72,,276,193196,149000,139339,124250,10032465,129
4245,"Eastern Kentucky Association of REALTORS®",6,2017,64,74,668,169431,119700,137289,97500,8786527,204
4300,"Greater Louisville Association of REALTORS®",6,2017,1787,,,,,226312,184000,404420038,38
4335,"Greater Owensboro Board of REALTORS®",6,2017,157,185,485,167897,129900,182872,137500,26903478,91
4375,"Heart of Kentucky Association of REALTORS®",6,2017,247,384,808,204408,169900,174042,164000,42988463,114
4280,"Henderson-Audubon Board of REALTORS®",6,2017,22,46,93,217156,194900,122685,139700,2642127,49
4285,"Hopkinsville-Christian Board of REALTORS®",6,2017,65,37,224,143342,129900,137926,126500,8965211,121
4290,"Kentucky-Barkley Lakes Board of REALTORS®",6,2017,53,3,408,220012,169900,142020,88000,7527099,142
4295,"Lexington Bluegrass Association of REALTORS®",6,2017,1428,1446,4137,296679,204950,203661,165000,290827548,48
4310,"Madisonville-Hopkins Board of REALTORS®",6,2017,40,40,220,152000,127000,117442,100000,4697684,120
4315,"Mayfield-Graves Board of REALTORS®",6,2017,32,0,146,162013,139900,103843,85700,3150130,114
4320,"Murray Calloway County Board of REALTORS®",6,2017,49,18,192,272691,199900,144187,132501,7065205,110
4325,"Northern Kentucky Association of REALTORS®",6,2017,710,452,1760,285672,214990,192624,167300,136763708,46
